Age,Gender,Job_Role,Working_Hours_Per_Day,Number_of_Projects,Sleep_Hours,Work_Life_Balance_Score,Stress_Level,Overtime_Hours,Years_of_Experience,Satisfaction_Level,Remote_or_Onsite,Burnout_Risk
49,Male,Marketing Executive,8.7,1,6.2,9.4,1.0,0.7,6.4,10.0,Onsite,Low
47,Male,HR Specialist,10.0,4,6.9,7.0,1.9,2.4,17.0,7.4,Onsite,High
37,Female,Product Manager,6.0,2,9.5,10.0,1.0,0.0,10.8,8.8,Hybrid,Low
39,Female,Designer,10.3,1,6.6,8.4,2.0,5.1,16.1,7.8,Onsite,Medium
48,Male,Sales Executive,6.5,2,6.3,10.0,1.0,0.0,19.6,10.0,Hybrid,Low
29,Male,Product Manager,6.8,2,9.3,10.0,1.0,0.0,5.8,9.0,Hybrid,Low
35,Male,Software Engineer,7.5,6,8.4,10.0,1.0,0.0,11.1,10.0,Remote,Low
38,Other,Customer Support,12.1,4,4.2,3.2,6.7,12.3,4.3,7.2,Onsite,High
25,Male,Marketing Executive,8.4,2,9.0,8.2,1.0,0.0,1.8,10.0,Onsite,Low
38,Female,Software Engineer,11.7,3,7.7,5.8,3.2,5.2,13.3,6.5,Hybrid,Medium
52,Female,Software Engineer,7.8,1,7.6,9.3,1.0,0.5,6.6,10.0,Onsite,Medium
22,Male,HR Specialist,7.7,2,8.8,,1.0,0.0,0.7,8.0,Onsite,Medium
21,Female,HR Specialist,5.7,1,6.1,9.4,2.2,0.0,0.0,10.0,Remote,Low
49,Female,Sales Executive,10.3,2,5.5,5.5,4.7,8.6,21.3,7.3,Onsite,Medium
23,Male,Designer,6.4,2,6.9,10.0,1.4,0.0,1.1,10.0,Onsite,Medium
41,Female,Data Analyst,11.6,3,6.6,3.3,6.7,9.0,10.3,5.7,Onsite,High
32,Male,Product Manager,10.8,1,4.8,5.0,3.3,5.6,3.5,7.6,Onsite,High
50,Male,Marketing Executive,6.8,3,9.2,9.2,1.1,0.0,25.4,9.4,Onsite,Low
55,Female,HR Specialist,9.9,4,8.2,7.0,2.7,5.6,18.7,10.0,Remote,Medium
21,Female,Data Analyst,11.6,1,6.9,4.3,1.8,8.9,0.0,6.8,Onsite,High
27,Female,HR Specialist,11.6,1,5.0,2.6,4.4,13.6,4.9,7.6,Onsite,High
30,Male,Finance Analyst,8.9,3,6.9,10.0,1.1,0.4,5.7,9.3,Hybrid,Medium
57,Female,Operations Manager,8.7,2,7.0,8.3,1.4,2.7,25.5,8.9,Remote,Low
51,Male,Designer,5.8,2,8.3,9.9,1.0,0.0,26.0,10.0,Onsite,Low
58,Male,Marketing Executive,9.2,3,7.3,,1.8,3.5,16.9,9.1,Hybrid,Medium
37,Male,Designer,9.2,2,8.6,10.0,1.0,0.0,4.5,10.0,Onsite,Low
55,Male,HR Specialist,7.4,4,8.7,10.0,1.0,0.0,20.5,7.9,Hybrid,Low
43,Female,Product Manager,8.6,3,9.2,8.6,1.0,1.3,19.4,10.0,Onsite,Low
43,Female,Product Manager,8.4,2,7.9,10.0,2.1,2.0,15.3,10.0,Hybrid,Low
56,Female,Data Analyst,9.6,2,6.9,8.8,1.0,4.6,19.6,10.0,Onsite,Low
50,Male,Marketing Executive,7.4,2,7.7,10.0,1.0,0.0,11.1,10.0,Hybrid,Low
58,Male,Customer Support,6.8,5,7.0,9.0,1.0,0.0,11.2,10.0,Onsite,Medium
36,Male,Designer,11.3,3,4.4,5.2,4.0,10.7,9.4,7.3,Remote,High
35,Male,Sales Executive,10.5,2,6.8,5.5,1.0,6.1,10.9,7.0,Onsite,Medium
56,Male,Designer,10.9,9,7.1,7.5,5.2,5.7,17.7,7.8,Onsite,High
44,Male,Finance Analyst,4.6,2,8.0,8.4,1.0,0.0,7.7,10.0,Remote,Low
58,Female,Sales Executive,7.6,2,7.9,10.0,1.0,0.0,17.8,10.0,Hybrid,Low
59,Female,Software Engineer,5.1,5,8.2,9.2,1.3,0.0,14.5,8.7,Remote,Low
47,Male,Finance Analyst,6.8,3,7.7,9.2,2.8,0.0,21.0,8.5,Hybrid,Low
33,Male,Finance Analyst,9.4,2,7.2,9.0,1.8,4.5,8.1,9.3,Hybrid,Medium
26,Male,Software Engineer,8.4,1,7.2,8.6,1.0,2.6,3.4,8.9,Remote,Medium
32,Male,Customer Support,10.7,2,6.4,,3.5,2.6,5.1,9.2,Remote,Medium
58,Male,Data Analyst,10.1,1,8.0,8.3,2.2,5.5,15.5,9.6,Onsite,Low
